"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"57","Recht_unpub",1,"1",0.681241036,-0.01,0.01,-1,"-1",0.01,-0.01,"1",1,1,1,0
"58","Recht_unpub",1,"1",2.291903019,1,1,1,"-1",0.01,-0.01,"1",1,0.01,1,1
"59","Recht_unpub",1,"1",1.00139308,0.01,0.01,1,"1",1,1,"1",0.01,0.01,0.01,1
"60","Recht_unpub",1,"0",0.73131609,-0.01,0.01,-1,"1",0.01,0.01,"1",0.01,1,0.01,1
"61","Recht_unpub",1,"1",0.601271153,1,1,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"62","Recht_unpub",1,"0",0.690898895,-0.01,0.01,-1,"1",1,1,"1",1,0.01,1,1
"63","Recht_unpub",1,"0",0.861294985,-1,1,-1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"64","Recht_unpub",1,"1",0.641016007,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"65","Recht_unpub",1,"0",0.931302071,1,1,1,"1",1,1,"1",1,0.01,1,0
"66","Recht_unpub",1,"1",0.90149188,0.01,0.01,1,"1",1,1,"-1",0.01,0.01,-0.01,1
"67","Recht_unpub",1,"1",0.841464043,0.01,0.01,1,"1",0.01,0.01,"1",0.01,1,0.01,1
"68","Recht_unpub",1,"0",1.001323938,-1,1,-1,"1",0.01,0.01,"1",1,0.01,1,1
"69","Recht_unpub",1,"0",1.081429005,-0.01,0.01,-1,"-1",1,-1,"-1",0.01,1,-0.01,1
"70","Recht_unpub",1,"0",2.791944981,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"71","Recht_unpub",1,"1",1.001164913,1,1,1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,1
"72","Recht_unpub",1,"1",0.791227102,0.01,0.01,1,"1",1,1,"1",0.01,1,0.01,1
"73","Recht_unpub",1,"0",1.311841011,-0.01,0.01,-1,"1",0.01,0.01,"1",1,1,1,1
"74","Recht_unpub",1,"0",0.78113389,-1,1,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"75","Recht_unpub",1,"1",0.751344919,0.01,0.01,1,"-1",1,-1,"-1",1,1,-1,1
"76","Recht_unpub",1,"0",0.641192913,-1,1,-1,"1",0.01,0.01,"1",1,1,1,1
"77","Recht_unpub",1,"0",1.12146306,-1,1,-1,"-1",1,-1,"-1",1,0.01,-1,1
"78","Recht_unpub",1,"1",0.611156941,1,1,1,"-1",1,-1,"-1",0.01,1,-0.01,1
"79","Recht_unpub",1,"1",0.521187067,-0.01,0.01,-1,"1",1,1,"1",1,1,1,0
"80","Recht_unpub",1,"1",1.331570864,0.01,0.01,1,"-1",0.01,-0.01,"1",1,1,1,1
"81","Recht_unpub",1,"0",0.861099958,0.01,0.01,1,"1",0.01,0.01,"1",1,0.01,1,0
"82","Recht_unpub",1,"0",0.661061049,-0.01,0.01,-1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"83","Recht_unpub",1,"1",0.751245976,-1,1,-1,"-1",0.01,-0.01,"-1",1,1,-1,0
"84","Recht_unpub",1,"0",0.631242991,-0.01,0.01,-1,"-1",1,-1,"1",1,0.01,1,1
"85","Recht_unpub",1,"1",0.821294069,0.01,0.01,1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"86","Recht_unpub",1,"1",1.391608954,1,1,1,"1",0.01,0.01,"1",0.01,1,0.01,1
"87","Recht_unpub",1,"0",0.921152115,-0.01,0.01,-1,"1",1,1,"1",1,1,1,1
"88","Recht_unpub",1,"1",1.991652012,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"89","Recht_unpub",1,"1",0.831473112,0.01,0.01,1,"1",0.01,0.01,"1",0.01,1,0.01,1
"90","Recht_unpub",1,"0",0.651139021,-1,1,-1,"1",0.01,0.01,"1",1,1,1,1
"91","Recht_unpub",1,"0",1.131319046,-1,1,-1,"-1",1,-1,"-1",1,0.01,-1,1
"92","Recht_unpub",1,"1",0.601215839,1,1,1,"-1",1,-1,"-1",0.01,0.01,-0.01,1
"93","Recht_unpub",1,"0",0.691231966,-0.01,0.01,-1,"1",1,1,"1",0.01,1,0.01,1
"94","Recht_unpub",1,"1",0.841318131,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"95","Recht_unpub",1,"0",0.781122923,-1,1,-1,"1",0.01,0.01,"1",1,0.01,1,1
"96","Recht_unpub",1,"1",0.61141181,0.01,0.01,1,"-1",1,-1,"-1",0.01,1,-0.01,1
"97","Recht_unpub",1,"0",2.301928997,-0.01,0.01,-1,"1",0.01,0.01,"1",1,0.01,1,1
"98","Recht_unpub",1,"1",0.891330004,0.01,0.01,1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"99","Recht_unpub",1,"0",1.541492939,1,1,1,"1",0.01,0.01,"1",1,0.01,1,0
"100","Recht_unpub",1,"1",0.68125391,1,1,1,"1",1,1,"-1",0.01,1,-0.01,1
"101","Recht_unpub",1,"1",0.811681986,1,1,1,"1",1,1,"1",1,1,1,1
"102","Recht_unpub",1,"0",2.992232084,-0.01,0.01,-1,"1",1,1,"1",1,0.01,1,1
"103","Recht_unpub",1,"1",0.771336079,1,1,1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"104","Recht_unpub",1,"1",0.631187201,-1,1,-1,"1",1,1,"1",0.01,0.01,0.01,0
"105","Recht_unpub",1,"1",2.081823111,-0.01,0.01,-1,"-1",1,-1,"1",0.01,0.01,0.01,0
"106","Recht_unpub",1,"0",0.600865126,-1,1,-1,"-1",0.01,-0.01,"1",0.01,1,0.01,1
"107","Recht_unpub",1,"0",0.721223116,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"108","Recht_unpub",1,"1",0.881375074,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"109","Recht_unpub",1,"0",0.601138115,-1,1,-1,"1",1,1,"1",1,0.01,1,1
