"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"2108","Maniscalco_2017_expt2",5,"1",0.876527178,0.25661875832929,0.25661875832929,1,"1",0.803799930961076,0.803799930961076,"1",0.01,0.01,0.01,1
"2109","Maniscalco_2017_expt2",5,"1",0.662508626,-0.530209338114153,0.530209338114153,-1,"1",0.25661875832929,0.25661875832929,"1",0.01,0.01,0.01,0
"2110","Maniscalco_2017_expt2",5,"1",0.557779331,0.803799930961076,0.803799930961076,1,"-1",0.530209338114153,-0.530209338114153,"1",0.01,0.01,0.01,1
"2111","Maniscalco_2017_expt2",5,"1",1.304375744,0.803799930961076,0.803799930961076,1,"1",0.803799930961076,0.803799930961076,"1",0.01,0.01,0.01,1
"2112","Maniscalco_2017_expt2",5,"0",0.691827516,-0.530209338114153,0.530209338114153,-1,"1",0.803799930961076,0.803799930961076,"1",0.01,0.01,0.01,1
"2113","Maniscalco_2017_expt2",5,"0",0.61267968,-0.530209338114153,0.530209338114153,-1,"-1",0.530209338114153,-0.530209338114153,"-1",0.01,0.01,-0.01,1
"2114","Maniscalco_2017_expt2",5,"0",0.434011857,-0.25661875832929,0.25661875832929,-1,"-1",0.530209338114153,-0.530209338114153,"-1",0.01,0.01,-0.01,1
"2115","Maniscalco_2017_expt2",5,"1",1.75778242,0.803799930961076,0.803799930961076,1,"-1",0.25661875832929,-0.25661875832929,"-1",0.01,0.01,-0.01,1
"2116","Maniscalco_2017_expt2",5,"0",1.85127588,-0.25661875832929,0.25661875832929,-1,"1",0.803799930961076,0.803799930961076,"1",0.01,0.01,0.01,1
"2117","Maniscalco_2017_expt2",5,"0",0.667939776,-0.530209338114153,0.530209338114153,-1,"-1",0.25661875832929,-0.25661875832929,"-1",0.01,0.01,-0.01,1
"2118","Maniscalco_2017_expt2",5,"0",0.725199763,0.530209338114153,0.530209338114153,1,"-1",0.530209338114153,-0.530209338114153,"-1",0.01,0.01,-0.01,0
"2119","Maniscalco_2017_expt2",5,"0",0.911291721,-0.25661875832929,0.25661875832929,-1,"1",0.530209338114153,0.530209338114153,"-1",0.01,0.01,-0.01,1
"2120","Maniscalco_2017_expt2",5,"0",0.768712164,-0.530209338114153,0.530209338114153,-1,"-1",0.25661875832929,-0.25661875832929,"-1",0.01,0.01,-0.01,1
"2121","Maniscalco_2017_expt2",5,"0",0.47135632,0.25661875832929,0.25661875832929,1,"-1",0.530209338114153,-0.530209338114153,"-1",0.01,0.01,-0.01,0
"2122","Maniscalco_2017_expt2",5,"0",0.561880879,-0.530209338114153,0.530209338114153,-1,"1",0.25661875832929,0.25661875832929,"-1",0.01,0.01,-0.01,1
"2123","Maniscalco_2017_expt2",5,"0",0.72838586,0.25661875832929,0.25661875832929,1,"-1",0.530209338114153,-0.530209338114153,"-1",0.01,0.01,-0.01,0
