Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
46,Wang_2018,3,0,0.55228,0.67,0.67,1.0,1.0,0.67,0.67,1,1.0,0.505,1.0,0,-0.9086619
47,Wang_2018,3,0,1.5895,0.34,0.34,1.0,1.0,0.67,0.67,-1,0.505,0.505,-0.505,0,-0.95202845
48,Wang_2018,3,0,0.26676,-0.34,0.34,-1.0,1.0,0.34,0.34,-1,0.505,1.0,-0.505,1,-0.9602865
49,Wang_2018,3,0,0.35748,0.34,0.34,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,0,-0.9724007
50,Wang_2018,3,0,0.78174,0.67,0.67,1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.9465406
51,Wang_2018,3,0,0.8056,-0.67,0.67,-1.0,1.0,0.67,0.67,-1,1.0,0.505,-1.0,1,-0.8575996
52,Wang_2018,3,0,0.57228,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,1,-0.7780612
53,Wang_2018,3,1,1.0163,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.68444264
54,Wang_2018,3,1,0.3786,1.0,1.0,1.0,0.001,0.01,1e-05,1,0.505,1.0,0.505,1,-0.67698765
55,Wang_2018,3,0,0.53589,-0.34,0.34,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.6938954
56,Wang_2018,3,1,0.27359,0.67,0.67,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.686528
57,Wang_2018,3,0,0.98568,-1.0,1.0,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.71591496
58,Wang_2018,3,0,1.3459,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.743912
59,Wang_2018,3,0,0.32041,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,0,-0.7675575
60,Wang_2018,3,0,0.29402,-1.0,1.0,-1.0,0.001,0.01,1e-05,-1,1.0,0.505,-1.0,1,-0.75360125
61,Wang_2018,3,1,0.36871,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,0.505,1.0,-0.505,1,-0.74393815
62,Wang_2018,3,0,0.74357,1e-05,0.01,0.001,1.0,1.0,1.0,1,1.0,1.0,1.0,0,-0.7576517
63,Wang_2018,3,0,0.91426,-1.0,1.0,-1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.7371571
64,Wang_2018,3,0,0.93054,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.7243369
65,Wang_2018,3,1,0.28658,0.67,0.67,1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.7044255
66,Wang_2018,3,0,0.436,0.67,0.67,1.0,1.0,0.67,0.67,1,1.0,0.505,1.0,0,-0.72766185
67,Wang_2018,3,0,0.41476,-1.0,1.0,-1.0,1.0,0.67,0.67,-1,0.505,1.0,-0.505,1,-0.6761224
68,Wang_2018,3,0,0.21222,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.62695533
69,Wang_2018,3,1,0.36194,-0.34,0.34,-1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.50197405
70,Wang_2018,3,1,1.0421,1.0,1.0,1.0,-1.0,0.34,-0.34,1,1.0,0.505,1.0,1,-0.47926107
71,Wang_2018,3,0,0.6953,0.34,0.34,1.0,1.0,1.0,1.0,1,0.505,1.0,0.505,0,-0.47087523
72,Wang_2018,3,1,0.31677,0.67,0.67,1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,1,-0.3901375
73,Wang_2018,3,0,0.37289,-1.0,1.0,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.3277611
74,Wang_2018,3,1,1.0932,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,0,-0.24321947
75,Wang_2018,3,0,0.46913,-0.67,0.67,-1.0,-1.0,0.67,-0.67,1,0.505,1.0,0.505,1,-0.24832362
76,Wang_2018,3,0,0.41194,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.22271904
77,Wang_2018,3,1,0.56823,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.15816486
78,Wang_2018,3,1,0.65106,0.67,0.67,1.0,-1.0,0.67,-0.67,1,0.505,1.0,0.505,1,-0.17752342
79,Wang_2018,3,1,0.69384,1.0,1.0,1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.1959633
80,Wang_2018,3,0,0.28042,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.20925684
81,Wang_2018,3,1,0.7995,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.19892016
82,Wang_2018,3,1,0.38216,0.34,0.34,1.0,1.0,0.34,0.34,1,0.505,1.0,0.505,1,-0.20712812
83,Wang_2018,3,1,0.58219,1.0,1.0,1.0,1.0,0.34,0.34,1,1.0,0.505,1.0,1,-0.2468578
84,Wang_2018,3,0,1.0942,0.67,0.67,1.0,1.0,1.0,1.0,1,0.505,0.505,0.505,0,-0.28471047
85,Wang_2018,3,1,1.0397,0.34,0.34,1.0,1.0,0.67,0.67,-1,0.505,1.0,-0.505,1,-0.21621685
86,Wang_2018,3,1,0.52993,-1.0,1.0,-1.0,1.0,0.34,0.34,1,1.0,0.01,1.0,0,-0.17688777
87,Wang_2018,3,1,0.35251,0.67,0.67,1.0,-1.0,1.0,-1.0,1,0.01,1.0,0.01,1,-0.2382711
88,Wang_2018,3,0,0.28598,-0.67,0.67,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.30288145
89,Wang_2018,3,1,0.41677,1.0,1.0,1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.34231883
90,Wang_2018,3,0,0.83697,-0.67,0.67,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.3851546
91,Wang_2018,3,0,0.57965,-1.0,1.0,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.4081553
