Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
12308,Adler_2018_Expt1_taskB,6,1,0.235622801847057,0.0404483811285451,0.0404483811285451,1,1,0.0536337345320779,0.0536337345320779,1,0.67,0.67,0.67,1,1.6554582
12309,Adler_2018_Expt1_taskB,6,1,0.0001395134895574,-0.0241275288116075,0.0241275288116075,-1,1,0.0404483811285451,0.0404483811285451,1,0.67,0.67,0.67,0,1.6722778
12310,Adler_2018_Expt1_taskB,6,1,0.186779701460182,0.0944233429229654,0.0944233429229654,1,-1,0.0241275288116075,-0.0241275288116075,1,0.67,0.67,0.67,1,1.6806554
12311,Adler_2018_Expt1_taskB,6,1,0.256821889055573,0.117827386732821,0.117827386732821,1,1,0.0944233429229654,0.0944233429229654,1,0.67,0.67,0.67,1,1.6853954
12312,Adler_2018_Expt1_taskB,6,1,0.796104077708151,0.0746090918904783,0.0746090918904783,1,1,0.117827386732821,0.117827386732821,1,0.67,0.67,0.67,1,1.6866187
12313,Adler_2018_Expt1_taskB,6,1,0.0001279675489058,0.0718276644359428,0.0718276644359428,1,1,0.0746090918904783,0.0746090918904783,1,0.67,0.67,0.67,1,1.6862669
12314,Adler_2018_Expt1_taskB,6,1,0.0001340612398053,-0.0834018621474238,0.0834018621474238,-1,1,0.0718276644359428,0.0718276644359428,1,0.67,0.67,0.67,0,1.6843941
12315,Adler_2018_Expt1_taskB,6,1,0.0668673736654455,-0.0366321618036772,0.0366321618036772,-1,-1,0.0834018621474238,-0.0834018621474238,1,0.67,0.67,0.67,0,1.6739208
12316,Adler_2018_Expt1_taskB,6,1,0.0815624741408101,-0.114075873547191,0.114075873547191,-1,-1,0.0366321618036772,-0.0366321618036772,1,0.67,0.34,0.67,0,1.6579678
12317,Adler_2018_Expt1_taskB,6,1,0.813526907502819,-0.0432198834088837,0.0432198834088837,-1,-1,0.114075873547191,-0.114075873547191,1,0.34,0.34,0.34,0,1.6282301
12318,Adler_2018_Expt1_taskB,6,1,0.0001257225048902,0.0118839987055731,0.0118839987055731,1,-1,0.0432198834088837,-0.0432198834088837,1,0.34,0.34,0.34,1,1.5889286
12319,Adler_2018_Expt1_taskB,6,1,0.0057267883203167,0.0782964998537958,0.0782964998537958,1,1,0.0118839987055731,0.0118839987055731,1,0.34,0.34,0.34,1,1.5444402
12320,Adler_2018_Expt1_taskB,6,1,0.185019907134119,0.0323691177287503,0.0323691177287503,1,1,0.0782964998537958,0.0782964998537958,1,0.34,0.34,0.34,1,1.4938066
12321,Adler_2018_Expt1_taskB,6,1,1.60501709761957,0.0164619175064324,0.0164619175064324,1,1,0.0323691177287503,0.0323691177287503,1,0.34,0.34,0.34,1,1.4351554
12322,Adler_2018_Expt1_taskB,6,1,0.0001337405228696,-0.0882070235096765,0.0882070235096765,-1,1,0.0164619175064324,0.0164619175064324,1,0.34,0.34,0.34,0,1.367659
12323,Adler_2018_Expt1_taskB,6,1,0.0001430414195056,-0.0297536088877869,0.0297536088877869,-1,-1,0.0882070235096765,-0.0882070235096765,1,0.34,0.34,0.34,0,1.283434
12324,Adler_2018_Expt1_taskB,6,1,0.247458128313156,-0.019966259865464,0.019966259865464,-1,-1,0.0297536088877869,-0.0297536088877869,1,0.34,0.67,0.34,0,1.1863004
12325,Adler_2018_Expt1_taskB,6,1,0.0001340612398053,0.0786914123610646,0.0786914123610646,1,-1,0.019966259865464,-0.019966259865464,1,0.67,0.34,0.67,1,1.0624353
12326,Adler_2018_Expt1_taskB,6,1,0.214656515578099,-0.0231263184435881,0.0231263184435881,-1,1,0.0786914123610646,0.0786914123610646,1,0.34,0.67,0.34,0,0.9222003
12327,Adler_2018_Expt1_taskB,6,1,0.254563082635286,-0.0319040840415116,0.0319040840415116,-1,-1,0.0231263184435881,-0.0231263184435881,1,0.67,0.67,0.67,0,0.7444728
12328,Adler_2018_Expt1_taskB,6,0,0.495527842260344,-0.0419608857570983,0.0419608857570983,-1,-1,0.0319040840415116,-0.0319040840415116,1,0.67,0.67,0.67,1,0.52801514
12329,Adler_2018_Expt1_taskB,6,0,0.528301535810897,0.0402524825132856,0.0402524825132856,1,-1,0.0419608857570983,-0.0419608857570983,-1,0.67,0.67,-0.67,0,0.3887079
12330,Adler_2018_Expt1_taskB,6,0,0.478880408267287,0.0263079490082784,0.0263079490082784,1,1,0.0402524825132856,0.0402524825132856,-1,0.67,0.67,-0.67,0,0.30269536
