Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
14,Yeon_unpub_Exp2,1,0,0.579363399000158,0.0595,0.0595,1,-1,0.0595,-0.0595,-1,1.0,0.67,-1.0,0,-0.18033421
15,Yeon_unpub_Exp2,1,1,0.28918256299994,0.076,0.076,1,1,0.0595,0.0595,-1,0.67,1.0,-0.67,1,-0.252065
16,Yeon_unpub_Exp2,1,0,0.251511519000132,-0.076,0.076,-1,1,0.076,0.076,1,1.0,1.0,1.0,1,-0.41838032
17,Yeon_unpub_Exp2,1,0,0.249351165999997,-0.0595,0.0595,-1,-1,0.076,-0.076,-1,1.0,1.0,-1.0,1,-0.55592763
18,Yeon_unpub_Exp2,1,0,0.302993229000094,-0.0595,0.0595,-1,-1,0.0595,-0.0595,-1,1.0,1.0,-1.0,1,-0.62170315
19,Yeon_unpub_Exp2,1,0,0.254687200000035,-0.043,0.043,-1,-1,0.0595,-0.0595,-1,1.0,1.0,-1.0,1,-0.6145104
20,Yeon_unpub_Exp2,1,0,0.405621074999999,-0.043,0.043,-1,-1,0.043,-0.043,-1,1.0,1.0,-1.0,1,-0.5340661
21,Yeon_unpub_Exp2,1,1,0.361515315000133,-0.0265,0.0265,-1,-1,0.043,-0.043,-1,1.0,0.67,-1.0,0,-0.36004227
22,Yeon_unpub_Exp2,1,0,1.39340222099986,0.043,0.043,1,-1,0.0265,-0.0265,1,0.67,0.67,0.67,0,-0.39420417
23,Yeon_unpub_Exp2,1,0,0.288740318999999,-0.0595,0.0595,-1,1,0.043,0.043,-1,0.67,0.67,-0.67,1,-0.26180577
24,Yeon_unpub_Exp2,1,1,0.256524956000021,0.0595,0.0595,1,-1,0.0595,-0.0595,-1,0.67,0.67,-0.67,1,-0.041239154
25,Yeon_unpub_Exp2,1,1,0.4234702440001,0.043,0.043,1,1,0.0595,0.0595,1,0.67,0.67,0.67,1,0.095381774
26,Yeon_unpub_Exp2,1,1,0.427486485999907,0.043,0.043,1,1,0.043,0.043,1,0.67,0.67,0.67,1,0.11905003
