Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
47,Law_unpub,2,1,0.600872993469238,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,0,0.14693454
48,Law_unpub,2,1,0.523108959197998,0.7525,0.7525,1,-1,0.505,-0.505,1,0.01,0.01,0.01,1,0.6278703
49,Law_unpub,2,1,0.673784017562866,0.01,0.01,1,1,0.7525,0.7525,1,0.01,0.01,0.01,1,0.8245629
50,Law_unpub,2,0,0.487633943557739,-0.505,0.505,-1,1,0.01,0.01,1,0.01,0.01,0.01,1,0.19158114
51,Law_unpub,2,1,1.09702396392822,1.0,1.0,1,-1,0.505,-0.505,-1,0.01,0.67,-0.01,1,-0.16252153
52,Law_unpub,2,0,0.503247976303101,-1.0,1.0,-1,1,1.0,1.0,1,0.67,0.67,0.67,1,-0.47841048
53,Law_unpub,2,1,0.594732046127319,0.505,0.505,1,-1,1.0,-1.0,-1,0.67,1.0,-0.67,1,-0.726668
54,Law_unpub,2,0,0.204953193664551,0.2575,0.2575,1,1,0.505,0.505,1,1.0,1.0,1.0,0,-1.2824998
55,Law_unpub,2,0,1.14917206764221,-1.0,1.0,-1,1,0.2575,0.2575,-1,1.0,0.01,-1.0,1,-1.6781491
56,Law_unpub,2,0,1.37185311317444,-0.505,0.505,-1,-1,1.0,-1.0,-1,0.01,0.34,-0.01,1,-2.016557
57,Law_unpub,2,0,0.54728889465332,-0.01,0.01,-1,-1,0.505,-0.505,-1,0.34,0.67,-0.34,1,-2.3918767
58,Law_unpub,2,0,0.525122880935669,-0.01,0.01,-1,-1,0.01,-0.01,-1,0.67,0.01,-0.67,1,-2.5151842
59,Law_unpub,2,0,0.444831132888794,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-2.2772262
60,Law_unpub,2,1,1.51327586174011,1.0,1.0,1,-1,0.505,-0.505,-1,0.01,0.01,-0.01,1,-2.0412447
61,Law_unpub,2,0,0.790828943252563,0.505,0.505,1,1,1.0,1.0,1,0.01,0.34,0.01,0,-2.2328453
62,Law_unpub,2,1,0.974652051925659,1.0,1.0,1,1,0.505,0.505,-1,0.34,0.67,-0.34,1,-2.2667596
