,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.45454033771106944,0.31611597532385893,0.5216515064385582,0.9245338,0.10376876,-0.23990175,VanBoxtel_2019_Expt1
1,2,0.704671669793621,0.36100159879780175,1.6854119125539369,0.80589646,2.3688502,-0.9568901,VanBoxtel_2019_Expt1
2,3,0.641313320825516,0.3458229578326483,0.7749659730287839,0.90291816,0.2583942,-0.032500554,VanBoxtel_2019_Expt1
3,4,0.6270731707317073,0.3157470257258313,0.5738801539819196,0.94680417,0.077830926,0.71880126,VanBoxtel_2019_Expt1
4,5,0.42915572232645405,0.40233109876319895,0.4884866602826527,0.8593172,0.27750468,0.7424755,VanBoxtel_2019_Expt1
5,6,0.554015009380863,0.4010746075556162,0.10365136730979974,0.756106,0.08506516,0.3256988,VanBoxtel_2019_Expt1
6,7,0.8769981238273921,0.2038625622861136,0.7838362944269514,0.9615587,0.08481109,-0.9108633,VanBoxtel_2019_Expt1
7,8,0.46568480300187615,0.32990234943563157,0.4558109310591509,0.7974268,0.44893357,-0.3199137,VanBoxtel_2019_Expt1
8,9,0.6530769230769231,0.20945913652519624,1.280523770553643,0.8752477,0.69246596,0.58436126,VanBoxtel_2019_Expt1
9,10,0.33628517823639775,0.3001290231089672,0.3098128518429196,0.9047629,0.061136518,0.3122557,VanBoxtel_2019_Expt1
10,11,0.569906191369606,0.36020252779753054,0.7280762598801054,0.98195446,0.028358553,0.6622125,VanBoxtel_2019_Expt1
11,12,0.4295684803001876,0.4288080536098644,0.48681120522010674,0.9230252,0.09437595,0.012306326,VanBoxtel_2019_Expt1
12,13,0.4520637898686679,0.3570396898224785,0.5400531784087439,0.8427519,0.2703674,0.28219333,VanBoxtel_2019_Expt1
13,14,0.5005628517823639,0.42202050901989835,0.6329939154428289,0.9543465,0.068818845,0.31209034,VanBoxtel_2019_Expt1
14,15,0.5119136960600376,0.44646977403873334,0.19091850588569528,0.80787426,0.09940099,0.031644057,VanBoxtel_2019_Expt1
15,16,0.27891181988742964,0.39497350758467914,0.7569219954645593,0.86038035,0.4016445,-0.25146693,VanBoxtel_2019_Expt1
16,17,0.6120075046904315,0.23891789833831584,0.34052497997752057,0.7906173,0.4101456,0.076816715,VanBoxtel_2019_Expt1
17,18,0.47435272045028143,0.44439754402726306,0.4083642041089053,0.82898176,0.22963521,0.8581635,VanBoxtel_2019_Expt1
18,19,0.5822889305816136,0.36528866507508134,0.15539081597995372,0.7817088,0.09476893,0.39330512,VanBoxtel_2019_Expt1
19,20,0.5527767354596623,0.3173928438556279,1.3048019560309068,0.953743,0.22182712,0.41607592,VanBoxtel_2019_Expt1
20,21,0.23949343339587242,0.34481252245997845,0.2718981545941349,0.8469556,0.11841058,-0.07868213,VanBoxtel_2019_Expt1
21,22,0.6852720450281425,0.35988860801014155,0.47031885231513665,0.9247407,0.091152124,-0.049002357,VanBoxtel_2019_Expt1
22,23,0.2760225140712946,0.3443401692856399,0.33472146203898134,0.8645093,0.12192126,-0.6938911,VanBoxtel_2019_Expt1
23,24,0.708799249530957,0.3953779378539146,1.7541951366884712,0.89862436,1.1166563,-0.39184576,VanBoxtel_2019_Expt1
24,25,0.3090431519699813,0.3486697732490491,0.09019450476562506,0.7182567,0.08637499,0.21346271,VanBoxtel_2019_Expt1
25,27,0.7286116322701688,0.29736443238362137,0.8915502409283393,0.9180817,0.2385329,-1.1092563,VanBoxtel_2019_Expt1
26,28,0.5005628517823639,0.4132086157088117,0.07877724650080557,0.72090524,0.06168733,-0.23105621,VanBoxtel_2019_Expt1
27,29,0.47538461538461535,0.4332875883362221,0.13537818098420643,0.78109753,0.08678796,-0.17625839,VanBoxtel_2019_Expt1
28,30,0.3505253283302064,0.32367952475567435,0.10499010707413313,0.7074564,0.10103069,0.23190668,VanBoxtel_2019_Expt1
29,31,0.591782363977486,0.3819890799953709,0.5944773432288581,0.9305024,0.12833585,-0.12196962,VanBoxtel_2019_Expt1
30,32,0.5191369606003753,0.3561042943634601,0.7272388670920398,0.8579786,0.3842582,-0.045667477,VanBoxtel_2019_Expt1
31,33,0.5387429643527205,0.3526637179685941,0.2485003656079555,0.84264636,0.105102114,0.7545886,VanBoxtel_2019_Expt1
32,34,0.4019136960600375,0.3569548094314676,0.3859291508165437,0.88616043,0.123929836,-0.23965712,VanBoxtel_2019_Expt1
33,35,0.7808255159474672,0.330892628149295,0.16405075783754858,0.78800565,0.10290842,0.0854434,VanBoxtel_2019_Expt1
34,36,0.4652720450281426,0.35087594363611796,1.0611405235474964,0.89389604,0.44118494,-0.25709987,VanBoxtel_2019_Expt1
35,37,0.47393996247654785,0.41057164142043706,0.9502371765049703,0.752803,1.3285156,-0.4334866,VanBoxtel_2019_Expt1
36,39,0.683827392120075,0.3792159558240926,1.071752646343759,0.97964424,0.06744446,0.36914867,VanBoxtel_2019_Expt1
37,40,0.5831144465290806,0.3879183639718044,0.22412384889709416,0.7748704,0.14748955,0.24926728,VanBoxtel_2019_Expt1
38,41,0.4369981238273921,0.32098155058546957,0.27201688228757887,0.83228266,0.1306957,-0.014088552,VanBoxtel_2019_Expt1
39,43,0.5459662288930581,0.35170359770127485,0.20271408472048785,0.792896,0.1446247,-0.20295046,VanBoxtel_2019_Expt1
40,44,0.23639774859287055,0.3577828148096983,0.0986779471175563,0.75264704,0.063554645,0.052396026,VanBoxtel_2019_Expt1
41,45,0.520375234521576,0.4220865499000914,0.5930311802392575,0.85876626,0.48438206,-0.16686623,VanBoxtel_2019_Expt1
