"study","subj","mean_conf","sd_conf","sd_criterion_fluctuations","a","sigmasq","mu_x"
"CalderTravis_unpub","7_CalderTravis_unpub",0.71918434703356,0.111672978331957,0.292282486481992,0.8650189,0.09233575,-0.7077174
"CalderTravis_unpub","8_CalderTravis_unpub",0.606801808551068,0.111233158381071,0.218888403303065,0.84476864,0.08153837,-0.22064205
"CalderTravis_unpub","9_CalderTravis_unpub",0.686147907258947,0.0864037225009573,0.16340367183028,0.8519579,0.0616824,-0.47397417
"CalderTravis_unpub","10_CalderTravis_unpub",0.663686042616344,0.102337102254489,0.739957495043903,0.88042295,0.27300662,-0.50589603
"CalderTravis_unpub","11_CalderTravis_unpub",0.720826013514679,0.110889085591831,0.486887640258186,0.8861328,0.13485113,0.006519451
"CalderTravis_unpub","12_CalderTravis_unpub",0.769251691567834,0.163995925001322,1.38385666084841,0.9229413,0.484963,-1.1352935
"CalderTravis_unpub","13_CalderTravis_unpub",0.664242568822385,0.131766958215796,0.19648150660268,0.8486511,0.06609848,0.4110914
"CalderTravis_unpub","14_CalderTravis_unpub",0.64384290860903,0.0909134281007591,0.46028139408835,0.8618817,0.17876053,-0.6858568
"CalderTravis_unpub","15_CalderTravis_unpub",0.776004867562472,0.21471408726155,0.445319787608476,0.896504,0.09948217,0.29264387
"CalderTravis_unpub","16_CalderTravis_unpub",0.949847096643638,0.0711594491990206,1.00038069544058,0.88700956,0.4388642,0.4447291
"CalderTravis_unpub","17_CalderTravis_unpub",0.830400853297515,0.191258475597915,0.183804392958965,0.85032004,0.07746615,-0.39391017
"CalderTravis_unpub","18_CalderTravis_unpub",0.58466779251388,0.0607462537970667,0.184436576151518,0.85695887,0.0683598,-0.6910234
"CalderTravis_unpub","19_CalderTravis_unpub",0.596426457579507,0.0799529039448544,0.294661845612667,0.873688,0.08161649,-0.9071363
"CalderTravis_unpub","20_CalderTravis_unpub",0.747750416121432,0.10198379246829,0.271469211301593,0.85500073,0.092374206,-0.23782791
"CalderTravis_unpub","21_CalderTravis_unpub",0.865227738925073,0.103848289367038,0.634608484005813,0.87707454,0.2405534,0.28458917
"CalderTravis_unpub","22_CalderTravis_unpub",0.731072426549051,0.165257950460945,0.425145937873863,0.86485416,0.15802605,-0.4130119
"CalderTravis_unpub","23_CalderTravis_unpub",0.838999667187661,0.128852459658738,0.178076517325499,0.858693,0.06424887,-0.059959438
"CalderTravis_unpub","24_CalderTravis_unpub",0.731842781630866,0.0744241494295644,0.586163516429891,0.91255176,0.12647432,-0.24686548
"CalderTravis_unpub","25_CalderTravis_unpub",0.594958886332591,0.0600803471314467,0.145735424754201,0.84408456,0.052690323,0.30790055
"CalderTravis_unpub","26_CalderTravis_unpub",0.801124940857412,0.152096213072067,0.146537841425389,0.83941275,0.05466703,0.30496326
